,continent,country,year,EIU,Income,Investments,Tax,Gini Index
27,Africa,Angola,2015,33.5,6650,9.55,12.5,42.6
46,Africa,Botswana,2015,78.7,15700,32.1,24.7,60.5
57,Africa,Burkina Faso,2015,47.0,1600,24.3,15.1,35.5
80,Africa,Cote d'Ivoire,2015,33.1,3230,20.1,15.4,41.6
91,Africa,Egypt,2015,31.8,10200,14.3,12.5,31.2
101,Africa,Equatorial Guinea,2015,17.7,27700,24.7,11.5,40.0
116,Africa,Kenya,2015,53.3,2800,21.5,16.3,41.5
126,Africa,Lesotho,2015,65.9,2870,28.8,40.6,54.2
143,Africa,Malawi,2015,55.5,1140,12.2,15.2,45.5
154,Africa,Mali,2015,57.0,1920,17.4,14.1,33.0
165,Africa,Mauritius,2015,82.8,18900,18.1,8.99,35.8
178,Africa,Mozambique,2015,46.0,1160,45.3,21.9,53.2
189,Africa,Namibia,2015,63.1,10500,33.8,32.5,59.5
200,Africa,Rwanda,2015,30.7,1770,26.4,13.7,45.3
207,Africa,Senegal,2015,60.8,3000,25.1,20.6,40.3
227,Africa,South Africa,2015,75.6,12400,21.0,27.3,63.1
245,Africa,Togo,2015,34.1,1470,20.7,21.8,43.5
254,Africa,Uganda,2015,52.2,1750,24.6,12.9,41.9
261,Africa,Zambia,2015,62.8,3680,42.8,16.8,57.0
276,Americas,Argentina,2015,70.2,19200,17.1,12.3,41.8
289,Americas,Brazil,2015,69.6,14800,17.4,12.8,51.6
300,Americas,Canada,2015,90.8,43100,24.1,12.3,31.7
311,Americas,Chile,2015,78.4,22300,23.8,17.4,47.5
320,Americas,Colombia,2015,66.2,13100,26.7,15.1,51.7
331,Americas,Costa Rica,2015,79.6,14600,18.4,13.7,48.7
342,Americas,Dominican Republic,2015,66.7,13700,22.6,13.3,45.3
353,Americas,El Salvador,2015,66.4,6980,15.6,16.9,41.1
364,Americas,Guatemala,2015,59.2,7290,13.6,10.2,48.5
375,Americas,Honduras,2015,58.4,4250,25.1,17.3,50.5
385,Americas,Jamaica,2015,73.9,8050,21.3,24.8,45.5
394,Americas,Mexico,2015,65.5,17500,23.3,12.8,46.5
405,Americas,Nicaragua,2015,52.6,4850,32.7,15.8,46.1
416,Americas,Paraguay,2015,63.3,11100,16.8,12.9,48.4
427,Americas,Peru,2015,65.8,12100,24.2,14.9,43.7
445,Americas,United States,2015,80.5,53200,20.4,11.2,41.3
456,Americas,Uruguay,2015,81.7,19900,19.7,18.5,40.1
467,Asia,Afghanistan,2015,27.7,1770,19.4,7.55,36.8
476,Asia,Armenia,2015,40.0,8170,20.7,20.9,31.9
485,Asia,Azerbaijan,2015,27.1,16800,27.9,15.6,32.4
502,Asia,Bangladesh,2015,57.3,3230,28.9,8.5,32.3
513,Asia,Bhutan,2015,49.3,8380,54.0,13.8,38.0
524,Asia,Cambodia,2015,42.7,3290,22.5,14.2,42.0
535,Asia,China,2015,31.4,13500,45.4,9.37,39.4
541,Asia,Fiji,2015,56.9,8780,17.9,25.5,36.8
557,Asia,Indonesia,2015,70.3,10400,34.1,10.8,39.1
